Brightness	Occurrences
4.0	63
7.0	50
2.0	48
6.0	40
5.0	40
13.0	36
20.0	30
21.0	29
11.0	27
3.0	25
124.0	24
22.0	24
14.0	21
10.0	21
304.0	20
15.0	19
132.0	18
25.0	18
19.0	17
18.0	17
16.0	17
30.0	17
24.0	16
236.0	16
208.0	15
136.0	14
256.0	13
164.0	13
148.0	13
8.0	12
9.0	12
23.0	12
128.0	12
27.0	12
29.0	12
316.0	11
200.0	11
26.0	11
452.0	11
12.0	11
504.0	10
272.0	10
28.0	10
276.0	10
160.0	10
472.0	9
280.0	9
184.0	9
432.0	9
284.0	9
168.0	8
268.0	8
424.0	8
564.0	8
620.0	8
488.0	8
212.0	8
140.0	7
54.0	7
38.0	7
252.0	7
532.0	7
380.0	7
50.0	7
360.0	7
720.0	6
468.0	6
508.0	6
540.0	6
592.0	6
344.0	6
364.0	6
788.0	6
404.0	6
748.0	6
440.0	6
500.0	6
152.0	6
176.0	6
1020.0	6
372.0	5
492.0	5
800.0	5
568.0	5
428.0	5
836.0	5
660.0	5
392.0	5
396.0	5
332.0	5
656.0	5
156.0	5
126.0	5
216.0	5
692.0	5
436.0	5
604.0	5
228.0	5
480.0	5
340.0	4
420.0	4
552.0	4
46.0	4
356.0	4
596.0	4
608.0	4
832.0	4
712.0	4
324.0	4
384.0	4
350.0	4
248.0	4
672.0	4
520.0	4
400.0	4
414.0	4
760.0	4
636.0	4
32.0	4
728.0	4
536.0	4
352.0	4
288.0	4
652.0	4
368.0	4
220.0	4
648.0	3
244.0	3
450.0	3
512.0	3
314.0	3
920.0	3
696.0	3
710.0	3
426.0	3
684.0	3
860.0	3
240.0	3
744.0	3
736.0	3
448.0	3
848.0	3
17.0	3
676.0	3
398.0	3
544.0	3
464.0	3
740.0	3
580.0	3
780.0	3
494.0	3
496.0	3
260.0	3
616.0	3
796.0	3
816.0	3
416.0	3
584.0	3
460.0	3
90.0	3
408.0	3
146.0	3
812.0	3
42.0	3
892.0	3
664.0	3
410.0	2
764.0	2
960.0	2
876.0	2
484.0	2
442.0	2
296.0	2
70.0	2
76.0	2
522.0	2
680.0	2
87.0	2
286.0	2
700.0	2
300.0	2
872.0	2
968.0	2
388.0	2
558.0	2
386.0	2
732.0	2
524.0	2
632.0	2
878.0	2
854.0	2
546.0	2
458.0	2
600.0	2
308.0	2
896.0	2
444.0	2
210.0	2
776.0	2
204.0	2
180.0	2
808.0	2
422.0	2
144.0	2
840.0	2
34.0	2
138.0	2
772.0	2
628.0	2
470.0	2
192.0	2
166.0	2
884.0	2
668.0	2
434.0	2
292.0	2
412.0	2
516.0	2
924.0	2
828.0	2
48.0	2
588.0	2
824.0	2
820.0	2
722.0	1
634.0	1
306.0	1
578.0	1
348.0	1
844.0	1
804.0	1
218.0	1
574.0	1
476.0	1
44.0	1
810.0	1
310.0	1
226.0	1
188.0	1
179.0	1
102.0	1
612.0	1
478.0	1
916.0	1
624.0	1
81.0	1
626.0	1
354.0	1
936.0	1
792.0	1
534.0	1
614.0	1
912.0	1
320.0	1
704.0	1
334.0	1
328.0	1
378.0	1
224.0	1
172.0	1
784.0	1
586.0	1
282.0	1
336.0	1
456.0	1
142.0	1
566.0	1
572.0	1
