Brightness	Occurrences
20.0	6
13.0	6
480.0	6
21.0	5
328.0	5
196.0	4
304.0	4
272.0	4
268.0	4
132.0	4
19.0	4
596.0	3
212.0	3
264.0	3
372.0	3
296.0	3
364.0	3
316.0	3
1016.0	2
40.0	2
832.0	2
150.0	2
506.0	2
472.0	2
224.0	2
414.0	2
236.0	2
1020.0	2
520.0	2
252.0	2
468.0	2
460.0	2
352.0	2
332.0	2
412.0	2
464.0	2
164.0	2
600.0	2
452.0	2
516.0	2
216.0	2
508.0	2
984.0	2
23.0	2
458.0	1
25.0	1
432.0	1
168.0	1
52.0	1
912.0	1
578.0	1
56.0	1
356.0	1
576.0	1
470.0	1
204.0	1
604.0	1
476.0	1
374.0	1
44.0	1
360.0	1
532.0	1
615.0	1
936.0	1
142.0	1
404.0	1
402.0	1
540.0	1
504.0	1
344.0	1
136.0	1
380.0	1
652.0	1
262.0	1
526.0	1
416.0	1
286.0	1
564.0	1
280.0	1
624.0	1
560.0	1
270.0	1
